Q Loss History,Policy Loss History,Reward History,Low Level Q Loss History,Low Level Policy Loss History,Low Level Reward History
82.78546798229218,21.076566703617573,-1317.005928815093,3.7825395353138447,4.153210021162522,-64.16361216776336
17.729132845066488,18.454679246991873,-113.50686034191808,1.4092566098552197,5.364398793317378,-124.2413853406831
16.894481875933707,17.069870728999376,-100.55930353738633,1.5903361476957798,7.20272764377296,-122.28286225864304
14.69991436926648,15.786897212266922,-98.4769114882812,1.456664175260812,8.786797436885536,-120.32549216397466
29.50198940373957,15.868393382057548,-93.78136993853454,1.2286988032283261,9.839838778600097,-130.52435967593513
9.391565071418881,14.393452087417245,-100.6572998986412,1.0219898979412392,10.572930650785565,-118.54719368456054
19.936960705090314,14.018488887697458,-109.57113405838143,0.8711805070051923,11.260964320972562,-110.75521520950738
20.966435855603777,13.547333486378193,-99.63452252529359,0.7844537267228588,11.808328384533525,-127.81794313862243
6.878165446105413,13.073393929749727,-92.80438020341633,0.7267073799157515,12.23046563565731,-106.15436278811025
14.41164504759945,12.417536215856671,-46.53046069267215,0.702206953545101,12.57070923037827,-89.25593477964526
9.469900297001004,12.148842481896281,-95.04828540426597,0.6848611446330324,12.773646986111999,-148.9566973975309
11.131330805481412,11.539351486600935,-58.582344150428646,0.6607807874679565,12.931339211761951,-100.36638483376656
9.580038768588565,11.419212953187525,-49.79200078186317,0.6464870823547244,13.056250808760524,-100.11460925429928
19.558713715872727,11.430822058580816,-90.92706595688766,0.6345094696152955,13.134679036214948,-105.7162172628685
9.334241329575889,11.401242670603096,-107.25968793730739,0.6242469996213913,13.18804888986051,-147.8580893291623
10.052243850775994,11.123554026708007,-183.34353669587776,0.6244900714373216,13.176662502810359,-106.52785737689668
15.552158949663863,11.159271580167115,-79.45463531305359,0.6195670570014045,13.151553079485893,-97.7757028858822
4.790170589927584,11.111404230818152,-128.81888145678508,0.610235967906192,13.135584944859147,-124.46230447276635
13.969572863541543,11.09808181039989,-49.63528207435754,0.6015497008338571,13.071041522547603,-69.25017231395083
7.0961614940315485,11.162933074869215,-62.99588606001994,0.6032112376997247,12.992082417011261,-104.89442226160739
9.187236813362688,10.971705317497253,-142.14413442390094,0.5965995920705609,12.856036888435483,-121.74033649284311
8.938227846170776,10.779974626377225,-47.872183018932965,0.5905196169042028,12.737555896863341,-70.00927253010605
19.115456959232688,10.75065394770354,-55.72329447650564,0.591785773052834,12.632189696654677,-91.39876494103494
6.324977048672736,10.584984038956463,-66.83763846108538,0.6003082227543928,12.546585636213422,-84.94715224838318
5.125594622339122,10.737371118739247,-109.10729462651751,0.6099194730632007,12.479920586571097,-145.8717801002207
10.124791998183355,10.647161953151226,-71.52958531067726,0.6159313918324187,12.324515357613564,-67.18491539129673
10.170945751480758,10.802300795912743,-92.18717380643803,0.6316623436287045,12.264216056093574,-134.56722333228242
6.009204146685079,10.778126835823059,-101.38928608223505,0.643537517869845,12.224814115092158,-90.23886333179053
7.156027841963805,10.917585361748934,-60.032245214629555,0.6453107859706506,12.10499812476337,-86.95986494921098
9.33514057006687,10.947289855219424,-135.81036753491676,0.6528039393015206,12.024876471608877,-130.80921336932332
8.716635332093574,10.831435712985694,-83.5062802066838,0.6619601780548692,11.93710233271122,-87.60128900500365
