1 [-1.636132180519723] -> 4
1 [-1.1592823933507324] -> 2
0 [5.70853012836768] -> 1
0 [3.880907933950841] -> 1
1 [-1.188662575752722] -> 0
1 [1.5746527471594711] -> 1
0 [9.61491933361956] -> 2
1 [1.808645968875266] -> 2
1 [-2.2472344210263047] -> 0
1 [-1.1767388633155154] -> 4
0 [5.377883735391352] -> 3
0 [-0.7369710253343718] -> 1
0 [-9.335823368064283] -> 0
1 [-1.9984861158904557] -> 0
0 [-1.1936729400417208] -> 1
1 [1.438146307747798] -> 4
1 [1.2474701983446534] -> 3
0 [1.3641399848654976] -> 3
1 [1.9805149571753586] -> 1
1 [-1.9135571661398476] -> 3
1 [1.5755752450415628] -> 4
1 [1.9604127016967023] -> 3
1 [-2.1328624489116073] -> 4
1 [1.1847731755552438] -> 4
1 [-1.1634051598279689] -> 4
0 [-3.5057408410733677] -> 2
0 [2.212004871432074] -> 2
1 [-1.6563508574008943] -> 0
1 [2.3931218819847224] -> 0
0 [4.1645009257100405] -> 1
1 [-1.0287396044354562] -> 0
0 [8.545188726205051] -> 1
0 [7.248969323418508] -> 2
1 [1.2024760977856042] -> 4
0 [9.921069826907695] -> 3
0 [-3.8782898785934115] -> 1
